Team_ID,Team_Name,Team_Abbreviation,Year_Founded,Manager_ID,Manager_ID,First_Name,Last_Name,Age,Player_ID,First_Name,Last_Name,Shirt_Number,Age,Team_ID
1,Arsenal FC,ARS,1886,1,1,Mikel,Arteta,41,1,David,Raya,22,21,1
2,Aston Villa FC,AVL,1874,2,2,Unai,Emery,52,2,William,Saliba,2,35,1
3,AFC Bournemouth,BOU,1899,3,3,Scott,Parker,40,3,Ben,White,4,25,1
4,Brentford FC,BRE,1889,4,4,Thomas ,Frank,50,4,Thomas,Partey,5,28,1
5,Brighton And Hove Albion,BHA,1897,5,5,Roberto,De Zerbi,44,5,Martin,Odegaard,8,27,1
6,Burnley FC,BUR,1882,6,6,Vincent,Kompany,37,6,Bukayo,Saka,7,29,1
7,Chelsea FC,CHE,1905,7,7,Mauricio,Pochettino,52,7,Gabriel,Jesus,9,20,1
8,Crystal Palace FC,CRY,1905,8,8,Patrick,Vieira,48,8,Eddie,Nketiah,14,25,1
9,Everton FC,EVE,1879,9,9,Sean,Dyche,52,9,Gabriel,Martinelli,11,33,1
10,Fulham FC,FUL,1879,10,10,Marco,Silva,46,10,Declan,Rice,41,24,1
11,Liverpool FC,LIV,1892,11,11,Jurgen,Klopp,56,11,Emiliano,Martinez,1,26,2
12,Luton Town FC,LUT,1885,12,12,Rob ,Edwards,41,12,Matty,Cash,2,34,2
13,Manchester City ,MCI,1880,13,13,Pep,Guardiola,53,13,Diego,Carlos,3,30,2
14,Manchester United,MUN,1902,14,14,Erik,Ten Hag,54,14,Alex,Moreno,15,26,2
15,Newcastle United,NEW,1892,15,15,Eddie,Howe,46,15,Douglas,Luiz,6,23,2
16,Nottingham Forest FC,NFO,1865,16,16,Steve,Cooper,44,16,John,McGinn,7,29,2
17,Sheffield United,SHU,1889,17,17,Chris,Wilder,56,17,Moussa,Diaby,19,31,2
18,Tottenham Hotspur,TOT,1882,18,18,Ange,Postecoglou,57,18,Leon,Bailey,31,19,2
19,West Ham United,WHU,1895,19,19,David ,Moyes,60,19,Jacob,Ramsey,41,20,2
20,Wolverhampton Wanderers,WOL,1877,20,20,Gary,O'Neil,40,20,Ollie,Watkins,11,31,2
,,,,,,,,,21,Ryan,Fredericks,2,21,3
,,,,,,,,,22,Milos,Kerkez,3,21,3
,,,,,,,,,23,Marcos,Senesi,25,19,3
,,,,,,,,,24,Max,Aarons,37,24,3
,,,,,,,,,25,Lewis,Cook,4,33,3
,,,,,,,,,26,Alex,Scott,14,27,3
,,,,,,,,,27,Marcus,Tavernier,16,24,3
,,,,,,,,,28,Tyler,Adams,18,18,3
,,,,,,,,,29,Phillip,Billing,29,28,3
,,,,,,,,,30,Dominic,Solanke,9,18,3
,,,,,,,,,31,Aaron,Hickey,2,32,4
,,,,,,,,,32,Rico,Henry,3,21,4
,,,,,,,,,33,Mark,Flekken,1,18,4
,,,,,,,,,34,Christian,Norgaard,6,26,4
,,,,,,,,,35,Mathias,Jensen,8,30,4
,,,,,,,,,36,Yoane,Wissa,11,30,4
,,,,,,,,,37,Frank,Onyeka,15,30,4
,,,,,,,,,38,Ivan,Toney,17,32,4
,,,,,,,,,39,Bryan ,Mbeumo,19,29,4
,,,,,,,,,40,Neil,Maupay,7,35,4
,,,,,,,,,41,Bart,Verbruggen,1,32,5
,,,,,,,,,42,Jason,Steele,23,25,5
,,,,,,,,,43,Tariq,Lamptey,2,22,5
,,,,,,,,,44,Adam,Webster,4,19,5
,,,,,,,,,45,Lewis,Dunk,5,30,5
,,,,,,,,,46,Pervis,Estupinan,30,34,5
,,,,,,,,,47,Kaoru,Mitoma,22,24,5
,,,,,,,,,48,Joao,Pedro,9,33,5
,,,,,,,,,49,Julio,Enciso,10,24,5
,,,,,,,,,50,Danny,Welbeck,18,32,5
,,,,,,,,,51,James,Trafford,1,25,6
,,,,,,,,,52,Dara,O'Shea,2,18,6
,,,,,,,,,53,Charlie,Taylor,3,19,6
,,,,,,,,,54,Jack,Cork,4,25,6
,,,,,,,,,55,Josh,Brownhill,8,21,6
,,,,,,,,,56,Sander,Berge,16,27,6
,,,,,,,,,57,Aaron,Ramsey,21,29,6
,,,,,,,,,58,Josh,Cullen,24,32,6
,,,,,,,,,59,Ameen,Al-Dakhil,28,21,6
,,,,,,,,,60,Lyle,Foster,17,25,6
,,,,,,,,,61,Robert,Sanchez,1,26,7
,,,,,,,,,62,Djordje,Petrovic,28,28,7
,,,,,,,,,63,Axel,Disasi,2,31,7
,,,,,,,,,64,Marc,Cucurella,3,18,7
,,,,,,,,,65,Thiago,Silva,6,33,7
,,,,,,,,,66,Ben,Chilwell,21,21,7
,,,,,,,,,67,Levi,Colwill,26,34,7
,,,,,,,,,68,Malo,Gusto,27,18,7
,,,,,,,,,69,Moises,Caicedo,25,24,7
,,,,,,,,,70,Cole,Palmer,20,35,7
,,,,,,,,,71,Sam,Johnstone,1,29,8
